features,coef
processor_speed,0.14544314458535085
battery_capacity,-0.11427562900998067
ram_capacity,0.11457576140265996
internal_memory,0.0697882599435963
num_rear_cameras,0.0777078324842973
screen_size,0.12202796842053204
refresh_rate,0.005481680928893923
extended_upto,-0.04514769279920179
primary_camera_rear,0.04211374012165839
primary_camera_front,0.01764671430239231
brand_name,-0.004563614747422298
has_5g,0.24051066353683953
has_nfc,0.14438127362147907
fast_charging,0.003692377653614798
processor_brand,-0.009235885135658123
resolution,0.054335051227852316
os,0.13833546321972612
brand_name_apple,0.3064256750030119
brand_name_asus,0.3865273242726141
brand_name_blackberry,0.7685173309641355
brand_name_gionee,-0.4819090205700368
brand_name_google,0.35617940235198936
brand_name_honor,-0.20285818691921725
brand_name_htc,0.08888431523861184
brand_name_huawei,-0.1144747565983067
brand_name_ikall,-0.18567069120708457
brand_name_infinix,-0.2058005347466271
brand_name_iqoo,-0.22605949006610818
brand_name_itel,-0.2370741244366641
brand_name_jio,-0.2857545620289289
brand_name_lava,-0.29391887083299184
brand_name_lenovo,-0.06006152960631336
brand_name_lg,0.3646011202321382
brand_name_meizu,-0.5214649049359216
brand_name_micromax,-0.28468564433422744
brand_name_motorola,-0.02947580791172294
brand_name_nokia,0.016876192858765307
brand_name_nothing,0.06676397369896545
brand_name_nubia,0.033761765746681965
brand_name_oneplus,-0.09733577850880928
brand_name_oppo,0.02417394077973447
brand_name_poco,-0.23390087352645286
brand_name_realme,-0.09987651229290051
brand_name_samsung,0.17658601874715407
brand_name_sony,0.7578742271895842
brand_name_tecno,-0.13474360016692138
brand_name_tesla,0.3728302467351917
brand_name_vivo,0.07238847714367595
brand_name_xiaomi,-0.09732512227301887
processor_brand_bionic,-0.2842517820050885
processor_brand_dimensity,-0.2198459349624728
processor_brand_exynos,-0.09535595969388547
processor_brand_fusion,0.5906774570081003
processor_brand_google,0.11345253846095124
processor_brand_helio,-0.17354057171214213
processor_brand_intel,-0.27232682735250335
processor_brand_jlq,0.6589083208033236
processor_brand_kirin,0.10156231233603458
processor_brand_mediatek,-0.18567069120708507
processor_brand_sc9863a,-0.011541990215751835
processor_brand_snapdragon,-0.020905142585913444
processor_brand_spreadtrum,0.013310035697659317
processor_brand_tiger,-0.11158348980223087
processor_brand_unisoc,-0.10288827476899443
resolution_FHD,0.01545974089197992
resolution_FHD+,0.2260396243303357
resolution_HD,-0.15328994205981974
resolution_HD+,-0.28018339406458925
resolution_QHD,-0.015555638700455385
resolution_UHD,0.207529609602551
os_android,-0.2223805691113686
os_ios,0.3064256750030131
os_other,-0.08404510589164448
